Argile	Limon	Sable	K2O	Mg++	Na+/100g	K+	Conduc	Capa_Reten	Na+/l	Altitude
83	15	2	3.2	28.0	22.0	4.9	17.9	45.2	99.2	2
72	23	3	1.5	23.4	18.2	5.1	17.2	44.2	100.0	2
83	15	2	3.2	28.0	22.0	4.9	17.9	45.2	99.2	2
62	31	3	0.7	18.0	12.3	2.6	11.3	41.2	21.1	3
82	17	2	2.1	24.3	8.3	2.2	15.7	39.2	72.2	2
77	20	2	1.5	12.0	7.6	2.2	10.4	41.8	54.8	3
76	17	2	1.1	20.3	10.6	2.1	20.9	46.2	110.4	2
72	24	3	1.4	10.0	6.8	2.3	15.5	35.9	94.0	2
77	18	3	2.5	13.0	6.4	2.6	14.0	37.0	88.0	3
72	24	3	1.4	10.0	6.8	2.3	15.5	35.9	94.0	3
72	24	3	1.4	10.0	6.8	2.3	15.5	35.9	94.0	2
72	26	2	3.7	14.6	7.8	2.3	22.7	43.1	137.2	2
72	22	2	1.2	10.3	5.4	2.3	11.9	46.0	48.8	3
67	29	3	1.1	23.2	9.6	2.0	16.0	43.9	98.4	2
68	30	3	1.1	23.9	12.1	2.9	11.2	38.8	74.9	1
38	23	39	0.8	15.8	2.6	0.5	2.2	28.6	12.9	3
36	25	40	0.3	12.5	2.6	0.4	3.1	26.8	15.1	3
60	34	5	0.6	17.6	4.2	0.8	3.4	38.4	20.8	5
44	33	23	0.8	19.6	3.2	0.4	3.1	28.1	17.4	6
50	13	32	0.4	9.6	3.3	0.5	3.4	32.2	24.5	2
71	24	5	1.0	12.5	10.5	1.4	12.6	38.8	74.4	2
53	44	4	1.6	15.8	18.0	1.7	40.1	45.5	237.9	2
65	32	2	0.5	14.8	8.0	1.0	11.8	41.7	74.7	1
60	36	5	1.6	17.1	10.4	1.0	8.0	41.6	56.0	2
58	37	4	0.8	11.7	5.7	0.7	11.9	74.8	36.3	3
61	33	3	1.1	21.7	25.2	1.8	40.5	40.2	253.8	1
66	28	5	2.1	13.6	6.6	2.9	11.8	48.1	33.1	1
62	32	6	1.2	11.0	10.4	1.2	27.4	42.9	201.0	1
60	35	5	2.6	31.4	7.2	2.0	35.6	41.5	205.9	2
58	37	7	0.6	14.5	4.6	0.8	11.8	42.3	79.8	2
58	33	5	1.2	22.4	8.6	1.6	15.1	41.0	106.2	6
40	49	10	1.6	9.6	4.4	2.0	4.0	38.2	19.8	2
68	27	3	1.4	6.0	1.8	0.9	1.7	40.5	8.1	2
58	37	4	0.8	11.7	5.7	0.7	11.9	74.8	36.3	2
62	34	5	1.0	10.6	4.3	0.7	11.7	41.6	61.4	6
65	32	4	0.7	11.8	5.4	0.8	11.7	38.3	79.9	3
61	28	9	0.7	9.0	8.1	0.8	15.1	36.4	70.5	4
64	28	9	0.9	9.0	7.8	0.9	13.4	33.1	68.4	4
61	33	6	0.6	16.0	0.7	0.6	1.0	32.4	6.4	4
44	34	20	0.4	8.0	3.3	0.5	2.6	26.4	9.0	4
65	32	4	0.7	11.8	5.4	0.8	11.7	38.3	79.9	2
42	30	26	1.1	9.0	1.3	1.0	0.9	27.6	5.8	7
61	33	6	0.9	10.0	6.0	0.7	8.5	33.6	37.3	6
75	19	6	2.0	13.0	1.4	0.7	1.3	39.3	5.6	3
75	19	6	2.0	13.0	1.4	0.7	1.3	39.3	5.6	3
62	24	6	0.4	13.0	0.8	0.6	1.2	33.5	6.9	4
62	24	6	0.4	13.0	0.8	0.6	1.2	33.5	6.9	3
54	25	13	1.1	15.3	4.9	1.0	6.3	31.8	44.3	3
57	31	13	0.6	12.0	0.9	0.8	0.6	28.9	4.0	4
18	16	63	0.5	9.0	0.9	0.6	0.8	14.6	3.0	3
48	42	7	0.6	20.7	3.6	1.1	3.8	36.1	26.8	4
52	36	9	1.4	13.5	3.2	0.6	4.3	29.5	26.9	3
